,airline,airline_id,airline_name,source_airport_iata,source_airport_icao,source_airport_id,source_airport_name,source_city,source_state,source_country,source_lat,source_lon,source_wiki,source_altitude,dest_airport_iata,dest_airport_icao,dest_airport_id,dest_airport_name,dest_city,dest_state,dest_country,dest_lat,dest_lon,dest_wiki,dest_altitude,codeshare,stops,equipment
172,2O,146,Air Salone,ADQ,PADQ,3531,Kodiak Airport,Kodiak,AK,United States,57.75,-152.4940033,http://en.wikipedia.org/wiki/Kodiak_Airport,78.0,KLN,PALB,7162,Larsen Bay Airport,Larsen Bay,AK,United States,57.5350990295,-153.977996826,http://en.wikipedia.org/wiki/Larsen_Bay_Airport,87.0,,0,BNI
177,2O,146,Air Salone,KLN,PALB,7162,Larsen Bay Airport,Larsen Bay,AK,United States,57.5350990295,-153.977996826,http://en.wikipedia.org/wiki/Larsen_Bay_Airport,87.0,KYK,PAKY,7161,Karluk Airport,Karluk,AK,United States,57.5671005249,-154.449996948,http://en.wikipedia.org/wiki/Karluk_Airport,137.0,,0,BNI
260,3E,10739,Air Choice One,BRL,KBRL,5726,Southeast Iowa Regional Airport,Burlington,IA,United States,40.783199310302734,-91.12550354003906,http://en.wikipedia.org/wiki/Southeast_Iowa_Regional_Airport,698.0,ORD,KORD,3830,Chicago O'Hare International Airport,Chicago,IL,United States,41.9786,-87.9048,http://en.wikipedia.org/wiki/O'Hare_International_Airport,672.0,,0,CNC
261,3E,10739,Air Choice One,BRL,KBRL,5726,Southeast Iowa Regional Airport,Burlington,IA,United States,40.783199310302734,-91.12550354003906,http://en.wikipedia.org/wiki/Southeast_Iowa_Regional_Airport,698.0,STL,KSTL,3678,St Louis Lambert International Airport,St. Louis,MO,United States,38.748697,-90.370003,http://en.wikipedia.org/wiki/Lambert-St._Louis_International_Airport,618.0,,0,CNC
262,3E,10739,Air Choice One,DEC,KDEC,4042,Decatur Airport,Decatur,IL,United States,39.834598541259766,-88.8656997680664,http://en.wikipedia.org/wiki/Decatur_Airport,682.0,ORD,KORD,3830,Chicago O'Hare International Airport,Chicago,IL,United States,41.9786,-87.9048,http://en.wikipedia.org/wiki/O'Hare_International_Airport,672.0,,0,CNC
263,3E,10739,Air Choice One,DEC,KDEC,4042,Decatur Airport,Decatur,IL,United States,39.834598541259766,-88.8656997680664,http://en.wikipedia.org/wiki/Decatur_Airport,682.0,STL,KSTL,3678,St Louis Lambert International Airport,St. Louis,MO,United States,38.748697,-90.370003,http://en.wikipedia.org/wiki/Lambert-St._Louis_International_Airport,618.0,,0,CNC
264,3E,10739,Air Choice One,JBR,KJBR,3591,Jonesboro Municipal Airport,Jonesboro,AR,United States,35.83169937133789,-90.64640045166016,http://en.wikipedia.org/wiki/Jonesboro_Municipal_Airport,262.0,STL,KSTL,3678,St Louis Lambert International Airport,St. Louis,MO,United States,38.748697,-90.370003,http://en.wikipedia.org/wiki/Lambert-St._Louis_International_Airport,618.0,,0,CNC
265,3E,10739,Air Choice One,ORD,KORD,3830,Chicago O'Hare International Airport,Chicago,IL,United States,41.9786,-87.9048,http://en.wikipedia.org/wiki/O'Hare_International_Airport,672.0,BRL,KBRL,5726,Southeast Iowa Regional Airport,Burlington,IA,United States,40.783199310302734,-91.12550354003906,http://en.wikipedia.org/wiki/Southeast_Iowa_Regional_Airport,698.0,,0,CNC
266,3E,10739,Air Choice One,ORD,KORD,3830,Chicago O'Hare International Airport,Chicago,IL,United States,41.9786,-87.9048,http://en.wikipedia.org/wiki/O'Hare_International_Airport,672.0,DEC,KDEC,4042,Decatur Airport,Decatur,IL,United States,39.834598541259766,-88.8656997680664,http://en.wikipedia.org/wiki/Decatur_Airport,682.0,,0,CNC
267,3E,10739,Air Choice One,STL,KSTL,3678,St Louis Lambert International Airport,St. Louis,MO,United States,38.748697,-90.370003,http://en.wikipedia.org/wiki/Lambert-St._Louis_International_Airport,618.0,BRL,KBRL,5726,Southeast Iowa Regional Airport,Burlington,IA,United States,40.783199310302734,-91.12550354003906,http://en.wikipedia.org/wiki/Southeast_Iowa_Regional_Airport,698.0,,0,CNC
268,3E,10739,Air Choice One,STL,KSTL,3678,St Louis Lambert International Airport,St. Louis,MO,United States,38.748697,-90.370003,http://en.wikipedia.org/wiki/Lambert-St._Louis_International_Airport,618.0,DEC,KDEC,4042,Decatur Airport,Decatur,IL,United States,39.834598541259766,-88.8656997680664,http://en.wikipedia.org/wiki/Decatur_Airport,682.0,,0,CNC
269,3E,10739,Air Choice One,STL,KSTL,3678,St Louis Lambert International Airport,St. Louis,MO,United States,38.748697,-90.370003,http://en.wikipedia.org/wiki/Lambert-St._Louis_International_Airport,618.0,JBR,KJBR,3591,Jonesboro Municipal Airport,Jonesboro,AR,United States,35.83169937133789,-90.64640045166016,http://en.wikipedia.org/wiki/Jonesboro_Municipal_Airport,262.0,,0,CNC
