"name","is_partner","latitude","longitude"
"49 Degrees North","1","48.302353","-117.5640"
"Afton Alps","0","44.854332","-92.79063"
"Alpine Meadows","1","39.148201","-120.1509"
"Alpine Mountain","0","41.114666","-75.22602"
"Alpine Valley","0","41.526939","-81.25988"
"Alpine Valley","0","42.653999","-83.56510"
"Alpine Valley","0","42.735901","-88.42818"
"Alta","1","40.583828","-111.6372"
"Alyeska Resort","1","60.961445","-149.1026"
"Andes Tower Hills","0","45.851013","-95.63053"
"Angel Fire Resort","1","36.387402","-105.2739"
"Apex Mountain","1","49.391090","-119.9032"
"Appalachian Ski Mountain","0","36.174622","-81.66309"
"Apple Mountain","0","43.473991","-84.10163"
"Arapahoe Basin Ski Area","1","39.642464","-105.8718"
"Arizona Snowbowl","0","35.331127","-111.7091"
"Arrowhead","0","43.363941","-72.33351"
"Ascutney Mountain","0","43.468990","-72.47097"
"Asessippi Ski Area","0","50.951019","-101.3399"
"Ashcroft XC","0","39.118900","-106.7964"
"Aspen Highlands","0","39.182522","-106.8559"
"Aspen Mountain","0","39.186714","-106.8192"
"Aspen/Snowmass XC","0","39.118900","-106.7964"
"Attitash","1","44.077778","-71.28277"
"Badger Mountain","0","47.716808","-120.0591"
"Badger Pass","0","37.662590","-119.6644"
"Balsams Wilderness XC","0","44.895000","-71.49610"
"Balsams/Wilderness","0","44.870834","-71.30583"
"Banff Mt Norquay","1","51.188705","-115.5837"
"Bear Creek","0","40.476349","-75.62928"
"Bear Mountain Resort","1","34.222305","-116.8638"
"Bear Notch XC","0","44.077999","-71.28279"
"Bear Valley Mountain Resort","1","38.491100","-120.0229"
"Bear Valley XC","0","38.461712","-120.0421"
"Beaver Creek","1","39.600464","-106.5178"
"Beaver Mountain","0","41.968170","-111.5412"
"Beech Mtn","1","36.197834","-81.87831"
"Belleayre","0","42.132191","-74.50698"
"Berkshire East","0","42.621296","-72.87808"
"Bethel Inn XC","0","44.403801","-70.79110"
"Big Boulder","0","41.050846","-75.60086"
"Big Powderhorn","0","46.509586","-90.09325"
"Big Rock","0","46.555759","-67.86441"
"Big Sky Resort","1","45.273602","-111.3215"
"Big Tupper","0","44.229794","-74.40606"
"Big White Ski Resort (BC)","1","49.888000","-119.4953"
"Bittersweet","0","42.467205","-85.75848"
"Black Mountain","0","44.575199","-70.61080"
"Black Mountain Ski Area","1","44.166027","-71.16130"
"Black River XC","0","43.482899","-75.33699"
"Blackjack","0","46.505482","-89.99733"
"Blacktail Mountain","0","42.844757","-109.9152"
"Blandford","0","42.187962","-72.89939"
"Blow Me Down XC","0","48.580002","-57.57000"
"Blue Hills","0","42.215549","-71.11832"
"Blue Knob","0","40.288036","-78.56211"
"Blue Mountain","0","44.507580","-80.31611"
"Blue Mountain","1","40.810528","-75.52375"
"Blueberry Hill XC","0","43.890202","-73.01030"
"Blueberry Lake XC","0","44.110401","-72.85260"
"Bluewood","0","46.141785","-117.8036"
"Bogus Basin","0","43.643841","-116.2074"
"Bohart Ranch XC","0","45.827202","-110.8837"
"Bolton Valley Resort","1","44.421673","-72.84948"
"Bolton Valley XC","0","44.399601","-72.99250"
"Boreal Mountain Resort","1","39.316502","-120.2702"
"Boston Mills/Brandywine","0","41.285862","-81.55700"
"Bottineau Winter Park","0","48.951225","-100.4742"
"Bousquet","0","42.411945","-73.26865"
"Boyce Park","0","40.486099","-79.73750"
